run,input_size,threads,num_chunks,,copied_elements,duration_us
4,10000000,24,2,2,237619,5338
5,10000000,24,2,2,237619,4375
6,10000000,24,2,2,237619,4594
7,10000000,24,2,2,237619,5058
8,10000000,24,2,2,237619,4302
9,10000000,24,2,2,237619,4536
10,10000000,24,2,2,237619,5339
1,1000000000,24,0,0,23813338,462582
2,1000000000,24,0,0,23813338,454666
3,1000000000,24,0,0,23813338,463728
4,1000000000,24,0,0,23813338,461118
5,1000000000,24,0,0,23813338,464013
6,1000000000,24,0,0,23813338,463529
7,1000000000,24,0,0,23813338,461297
8,1000000000,24,0,0,23813338,467712
9,1000000000,24,0,0,23813338,454084
10,1000000000,24,0,0,23813338,463785
1,1000000000,24,1,1,23813338,639696
2,1000000000,24,1,1,23813338,621476
3,1000000000,24,1,1,23813338,650628
4,1000000000,24,1,1,23813338,608875
5,1000000000,24,1,1,23813338,642799
6,1000000000,24,1,1,23813338,643336
7,1000000000,24,1,1,23813338,655443
8,1000000000,24,1,1,23813338,602545
9,1000000000,24,1,1,23813338,637921
10,1000000000,24,1,1,23813338,628788
1,1000000000,24,2,2,23813338,488091
2,1000000000,24,2,2,23813338,484845
3,1000000000,24,2,2,23813338,464277
4,1000000000,24,2,2,23813338,492225
5,1000000000,24,2,2,23813338,469011
6,1000000000,24,2,2,23813338,469835
7,1000000000,24,2,2,23813338,504412
8,1000000000,24,2,2,23813338,502644
9,1000000000,24,2,2,23813338,462277
10,1000000000,24,2,2,23813338,497268
